base_case_id,scenario_name,modified_features,base_prediction,scenario_prediction,delta_prediction,delta_prediction_pct,actual_value,absolute_error_base,scenario_type,interpretation,within_training_range,range_warning
high_silica_case,Higher predicted silica stress test,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 8.9668, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 623.9938, ""change"": ""-5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3099.5631, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,combined_package,"Under the learned model behavior, Higher predicted silica stress test is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Conservative small-adjustment package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.2668, ""change"": ""+0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 673.2564, ""change"": ""+2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3344.2654, ""change"": ""+2.5%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,combined_package,"Under the learned model behavior, Conservative small-adjustment package is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Process drift warning scenario,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.0668, ""change"": ""-0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 640.4147, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3181.1305, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.39, ""new_value"": 2.59, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 3.09, ""new_value"": 3.29, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2382,2.3917,0.1535,6.86,5.53,3.2918,combined_package,"Under the learned model behavior, Process drift warning scenario is associated with a scenario in which the model predicts higher silica by 0.1535. This is not a causal or operational recommendation.",True,
low_silica_case,Amina Flow +5%,"[{""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 410.6278, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.5657,1.5657,-0.0,-0.0,0.84,0.7257,manual_operational,"Under the learned model behavior, Amina Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
low_silica_case,Amina Flow -5%,"[{""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 371.5204, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.5657,1.5657,-0.0,-0.0,0.84,0.7257,manual_operational,"Under the learned model behavior, Amina Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
low_silica_case,Starch Flow -5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2122.5571, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.5657,1.5657,-0.0,-0.0,0.84,0.7257,manual_operational,"Under the learned model behavior, Starch Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
low_silica_case,Starch Flow +5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2345.9841, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.5657,1.5651,-0.0006,-0.04,0.84,0.7257,manual_operational,"Under the learned model behavior, Starch Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0006. This is not a causal or operational recommendation.",True,
low_silica_case,Ore Pulp pH +0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 10.0252, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.5657,1.5647,-0.001,-0.06,0.84,0.7257,manual_operational,"Under the learned model behavior, Ore Pulp pH +0.2 is associated with a scenario in which the model predicts lower silica by 0.0010. This is not a causal or operational recommendation.",True,
low_silica_case,Ore Pulp pH -0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 9.6252, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",1.5657,1.568,0.0023,0.15,0.84,0.7257,manual_operational,"Under the learned model behavior, Ore Pulp pH -0.2 is associated with a scenario in which the model predicts higher silica by 0.0023. This is not a causal or operational recommendation.",True,
low_silica_case,recent lab silica trend +0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.25, ""new_value"": 1.45, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.24, ""new_value"": 1.44, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.5657,1.6851,0.1194,7.63,0.84,0.7257,lab_trend_feature,"Under the learned model behavior, recent lab silica trend +0.2 pp is associated with a recent-lab-pattern stress test where the model predicts higher silica by 0.1194. This is not a causal or operational recommendation.",True,
low_silica_case,recent lab silica trend -0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.25, ""new_value"": 1.05, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.24, ""new_value"": 1.04, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",1.5657,1.3898,-0.1759,-11.23,0.84,0.7257,lab_trend_feature,"Under the learned model behavior, recent lab silica trend -0.2 pp is associated with a recent-lab-pattern stress test where the model predicts lower silica by 0.1759. This is not a causal or operational recommendation.",True,
